"","Sample","X","Y","study"
"142","mi62",-0.121318076299021,0.196662042368988,"Kaitany et al 2001"
"143","mi63",-0.180376487011186,0.197079322735432,"Kaitany et al 2001"
"144","mi64",-0.180376487011186,0.197079322735432,"Kaitany et al 2001"
"145","mi65",-0.180376487011186,0.197079322735432,"Kaitany et al 2001"
"146","mi66",-0.180376487011186,0.197079322735432,"Kaitany et al 2001"
"147","mi67",-0.180376487011186,0.197079322735432,"Kaitany et al 2001"
"148","mi68",-0.176065529894415,0.138091879493145,"Kaitany et al 2001"
"149","mi69",-0.176065529894415,0.138091879493145,"Kaitany et al 2001"
"150","mi7",0.403394780205003,-0.00420303971414904,"Kaitany et al 2001"
"151","mi70",0.230474644766154,-0.229945388015518,"Kaitany et al 2001"
"152","mi71",0.537569732946431,-0.167358682719796,"Kaitany et al 2001"
"153","mi72",0.537569732946431,-0.167358682719796,"Kaitany et al 2001"
"154","mi73",0.457324599030181,-0.259795459535476,"Kaitany et al 2001"
"155","mi74",0.457324599030181,-0.259795459535476,"Kaitany et al 2001"
"156","mi75",0.13102073748681,-0.369332737924239,"Kaitany et al 2001"
"157","mi76",0.13102073748681,-0.369332737924239,"Kaitany et al 2001"
"158","mi77",0.0493866929609682,-0.276097750371242,"Kaitany et al 2001"
"159","mi78",0.363062933865181,-0.139132775560172,"Kaitany et al 2001"
"160","mi8",0.404607706610565,-0.0697533132563523,"Kaitany et al 2001"
"161","mi9",0.499328694135208,-0.0622574035606232,"Kaitany et al 2001"
